SERVICE_RTE_NUM,INBD_OUTBD_CD,DAY_PART_CD,STOP_ID,STOP_NAME,DAY_TYPE,STOP_SEQUENCE_NUM,AVG_TRIP_BOARDINGS,AVG_TOTAL_BOARDINGS,AVG_TRIP_ALIGHTINGS,AVG_TOTAL_ALIGHTINGS,AVG_TRIP_DEPARTING_LOAD
703,O,MID,3244,Lynnwood City Center Station Bay C5,Sunday,10,2.620,46.500,4.254,75.500,6.000
703,O,MID,3246,Hwy 99 WB Station,Sunday,11,0.542,9.750,3.472,62.500,3.083
703,O,MID,3222,Edmonds College Transit Center Bay 5,Sunday,12,0.000,0.000,3.127,55.500,0.000
703,O,MID,3237,North Rd WB Station,Sunday,4,1.145,21.750,0.474,9.000,5.868
703,O,MID,3238,Larch Way WB Station,Sunday,5,0.973,18.000,0.432,8.000,6.338
703,O,MID,3239,Ash Way Park & Ride Bay 5,Sunday,6,1.722,31.000,0.681,12.250,7.403
703,O,MID,3240,Swamp Creek Park & Ride WB Station,Sunday,7,1.458,26.250,0.583,10.500,8.278
703,O,MID,3242,180th Pl SW WB Station,Sunday,8,0.681,12.250,0.222,4.000,8.736
703,O,MID,3243,188th St SW WB Station,Sunday,9,2.423,43.000,3.254,57.750,7.831
703,O,MID,3224,McCollum Park Park & Ride Bay 4,Sunday,0,1.493,27.250,0.000,0.000,1.493
703,O,MID,3046,Trillium Blvd SB Station,Sunday,1,1.000,18.000,0.014,0.250,2.500
703,O,MID,3047,153rd St SE SB Station,Sunday,2,1.389,25.000,0.236,4.250,3.653
703,O,MID,3236,Mill Creek Blvd WB Station,Sunday,3,1.822,33.250,0.164,3.000,5.274
703,O,PM,3244,Lynnwood City Center Station Bay C5,Sunday,10,3.458,41.500,9.188,110.250,8.750
703,O,PM,3246,Hwy 99 WB Station,Sunday,11,0.938,11.250,4.854,58.250,4.688
703,O,PM,3222,Edmonds College Transit Center Bay 5,Sunday,12,0.000,0.000,4.688,56.250,0.000
703,O,PM,3238,Larch Way WB Station,Sunday,5,1.457,16.750,0.609,7.000,6.543
703,O,PM,3239,Ash Way Park & Ride Bay 5,Sunday,6,2.021,24.250,1.250,15.000,7.271
703,O,PM,3240,Swamp Creek Park & Ride WB Station,Sunday,7,1.042,12.500,1.021,12.250,7.292
703,O,PM,3242,180th Pl SW WB Station,Sunday,8,0.458,5.500,0.292,3.500,7.458
703,O,PM,3243,188th St SW WB Station,Sunday,9,9.367,114.750,2.898,35.500,14.061
703,O,PM,3224,McCollum Park Park & Ride Bay 4,Sunday,0,2.188,26.250,0.000,0.000,2.188
703,O,PM,3046,Trillium Blvd SB Station,Sunday,1,0.729,8.750,0.104,1.250,2.812
703,O,PM,3047,153rd St SE SB Station,Sunday,2,1.271,15.250,0.083,1.000,4.000
703,O,PM,3236,Mill Creek Blvd WB Station,Sunday,3,2.174,25.000,0.304,3.500,5.804
703,O,PM,3237,North Rd WB Station,Sunday,4,0.295,3.250,0.591,6.500,5.568
703,O,XEV,3246,Hwy 99 WB Station,Sunday,11,0.806,7.250,3.694,33.250,4.778
703,O,XEV,3222,Edmonds College Transit Center Bay 5,Sunday,12,0.000,0.000,4.778,43.000,0.000
703,O,XEV,3236,Mill Creek Blvd WB Station,Sunday,3,1.371,12.000,0.171,1.500,3.571
703,O,XEV,3237,North Rd WB Station,Sunday,4,0.306,2.750,0.500,4.500,3.500
703,O,XEV,3238,Larch Way WB Station,Sunday,5,1.056,9.500,0.444,4.000,4.111
703,O,XEV,3239,Ash Way Park & Ride Bay 5,Sunday,6,0.750,6.750,0.278,2.500,4.583
703,O,XEV,3240,Swamp Creek Park & Ride WB Station,Sunday,7,0.500,4.500,1.000,9.000,4.083
703,O,XEV,3242,180th Pl SW WB Station,Sunday,8,0.250,2.250,0.139,1.250,4.194
703,O,XEV,3243,188th St SW WB Station,Sunday,9,6.583,59.250,0.194,1.750,10.583
703,O,XEV,3244,Lynnwood City Center Station Bay C5,Sunday,10,2.889,26.000,6.056,54.500,7.472
703,O,XEV,3224,McCollum Park Park & Ride Bay 4,Sunday,0,1.162,10.750,0.000,0.000,1.162
703,O,XEV,3046,Trillium Blvd SB Station,Sunday,1,0.444,4.000,0.000,0.000,1.639
703,O,XEV,3047,153rd St SE SB Station,Sunday,2,0.417,3.750,0.028,0.250,2.028
703,O,XNT,3244,Lynnwood City Center Station Bay C5,Sunday,10,2.091,5.750,3.000,8.250,4.545
703,O,XNT,3246,Hwy 99 WB Station,Sunday,11,0.500,1.500,2.417,7.250,2.417
703,O,XNT,3222,Edmonds College Transit Center Bay 5,Sunday,12,0.000,0.000,2.417,7.250,0.000
703,O,XNT,3236,Mill Creek Blvd WB Station,Sunday,3,0.714,1.250,0.143,0.250,2.143
703,O,XNT,3237,North Rd WB Station,Sunday,4,0.000,0.000,0.000,0.000,2.000
703,O,XNT,3238,Larch Way WB Station,Sunday,5,0.250,0.500,0.000,0.000,2.250
703,O,XNT,3239,Ash Way Park & Ride Bay 5,Sunday,6,0.250,0.500,0.125,0.250,2.375
703,O,XNT,3240,Swamp Creek Park & Ride WB Station,Sunday,7,0.625,1.250,0.625,1.250,2.375
703,O,XNT,3242,180th Pl SW WB Station,Sunday,8,0.125,0.250,0.000,0.000,2.500
703,O,XNT,3243,188th St SW WB Station,Sunday,9,3.125,6.250,0.375,0.750,5.250
703,O,XNT,3224,McCollum Park Park & Ride Bay 4,Sunday,0,2.000,2.000,0.000,0.000,2.000
703,O,XNT,3046,Trillium Blvd SB Station,Sunday,1,0.250,0.250,0.000,0.000,2.250
703,O,XNT,3047,153rd St SE SB Station,Sunday,2,0.500,0.500,0.250,0.250,2.500
