SERVICE_RTE_NUM,INBD_OUTBD_CD,DAY_PART_CD,STOP_ID,STOP_NAME,DAY_TYPE,STOP_SEQUENCE_NUM,AVG_TRIP_BOARDINGS,AVG_TOTAL_BOARDINGS,AVG_TRIP_ALIGHTINGS,AVG_TOTAL_ALIGHTINGS,AVG_TRIP_DEPARTING_LOAD
701,I,XNT,2807,Madison St NB Station,Saturday,13,0.640,3.200,2.240,11.200,6.320
701,I,XNT,2815,50th St NB Station,Saturday,14,0.280,1.400,1.000,5.000,5.600
701,I,XNT,2819,40th St NB Station,Saturday,15,0.240,1.200,0.720,3.600,5.120
701,I,XNT,2835,Colby Ave NB Station,Saturday,16,0.400,2.000,2.040,10.200,3.480
701,I,XNT,2838,Everett Station Bay G1,Saturday,17,0.067,0.400,3.133,18.800,0.000
701,I,XNT,2761,Heron NB Station at 200th St SW,Saturday,4,0.500,2.000,0.650,2.600,7.400
701,I,XNT,3247,196th St SW NB Station,Saturday,5,3.700,14.800,0.850,3.400,10.550
701,I,XNT,2767,Cherry Hill NB Station at 176th St SW,Saturday,6,1.350,5.400,0.950,3.800,11.300
701,I,XNT,2777,148th St SW NB Station,Saturday,7,2.500,10.000,1.850,7.400,11.950
701,I,XNT,2779,Lincoln Way NB Station,Saturday,8,0.600,2.400,1.200,4.800,11.350
701,I,XNT,2781,Airport Road NB Station,Saturday,9,3.750,15.000,4.950,19.800,10.150
701,I,XNT,2783,112th St SW NB Station,Saturday,10,0.650,2.600,0.750,3.000,10.050
701,I,XNT,2787,4th Ave W NB Station,Saturday,11,0.480,2.400,1.240,6.200,7.640
701,I,XNT,2795,Casino Rd NB Station,Saturday,12,1.520,7.600,2.640,13.200,6.520
701,I,XNT,3382,Shoreline North/185th Station Bay 1,Saturday,0,4.800,14.400,0.000,0.000,4.800
701,I,XNT,3313,Aurora Village Transit Center Bay 12,Saturday,1,3.267,9.800,0.667,2.000,7.400
701,I,XNT,2747,238th St SW NB Station,Saturday,2,1.000,3.000,0.867,2.600,7.533
701,I,XNT,2753,Gateway NB Station at 216th St SW,Saturday,3,1.600,4.800,0.200,0.600,8.933
701,O,AM,2838,Everett Station Bay G1,Saturday,0,4.424,75.200,0.000,0.000,4.424
701,O,AM,2836,Wetmore Ave SB Station,Saturday,1,2.294,39.000,0.329,5.600,6.000
701,O,AM,2820,41st St SB Station,Saturday,2,1.100,17.600,0.438,7.000,7.000
701,O,AM,2816,50th St SB Station,Saturday,3,0.762,12.200,0.250,4.000,7.513
701,O,AM,2810,Pecks Dr SB Station,Saturday,4,1.188,19.000,0.475,7.600,8.225
701,O,AM,2796,Casino Rd SB Station,Saturday,5,2.562,41.000,1.212,19.400,9.575
701,O,AM,2788,4th Ave W SB Station,Saturday,6,2.138,34.200,1.950,31.200,9.412
701,O,AM,2784,112th St SW SB Station,Saturday,7,1.400,22.400,0.662,10.600,9.750
701,O,AM,2782,Airport Road SB Station,Saturday,8,2.360,35.400,2.787,41.800,9.813
701,O,AM,2780,Lincoln Way SB Station,Saturday,9,1.013,15.200,0.880,13.200,9.947
701,O,AM,2778,148th St SW SB Station,Saturday,10,1.253,18.800,1.080,16.200,10.120
701,O,AM,2770,International SB Station at 174th Pl SW,Saturday,11,1.040,15.600,0.667,10.000,10.107
701,O,AM,2764,Crossroads SB Station at 196th St SW,Saturday,12,0.773,11.600,3.093,46.400,7.480
701,O,AM,2760,College SB Station at 204th St SW,Saturday,13,0.686,9.600,0.271,3.800,8.286
701,O,AM,2754,216th St SW SB Station,Saturday,14,0.971,13.600,1.814,25.400,7.443
701,O,AM,2748,238th St SW SB Station,Saturday,15,0.629,8.800,1.057,14.800,7.014
701,O,AM,2742,Aurora Village Transit Center Bay 9,Saturday,16,0.429,6.000,4.086,57.200,2.929
701,O,AM,3267,Shoreline North/185th Station Bay 2,Saturday,17,0.000,0.000,3.108,40.400,-0.154
