block_identifier,service_id,trip_id,trip_sequence
5906516,117816,49192241,2
5906516,117816,49192242,3
5906516,117816,49192243,4
5906516,117816,49192244,5
5906516,117816,49192245,6
5906516,117816,49192246,7
5906516,117816,49192247,8
5906516,117816,49192248,9
5906516,117816,49192249,10
5906516,117816,49192250,11
5906516,117816,49192251,12
5906516,117816,49192252,13
5906516,117816,49192253,14
5906516,117816,49192254,15
5906517,117816,49192337,1
5906517,117816,49192338,2
5906517,117816,49192339,3
5906517,117816,49192340,4
5906517,117816,49192341,5
5906517,117816,49192342,6
5906517,117816,49192343,7
5906517,117816,49192344,8
5906517,117816,49192345,9
5906517,117816,49192216,10
5906517,117816,49192347,11
5906517,117816,49192218,12
5906517,117816,49192349,13
5906517,117816,49192220,14
5906517,117816,49192351,15
5906517,117816,49192352,16
5906517,117816,49192353,17
5906517,117816,49192354,18
5906517,117816,49192355,19
5906518,117816,49192356,1
5906518,117816,49192357,3
5906518,117816,49192358,6
5906518,117816,49192359,8
5906518,117816,49192360,11
5906518,117816,49192361,13
5906518,117816,49192362,16
5906518,117816,49192363,18
5906518,117816,49192478,21
5906518,117816,49192479,23
5906518,117816,49192553,26
5906518,117816,49192554,28
5906518,117816,49192555,31
5906518,117816,49192556,33
5906518,117816,49192386,36
5906518,117816,49192387,38
5906519,117816,49192372,1
5906519,117816,49192373,3
5906519,117816,49192374,6
5906519,117816,49192375,8
5906519,117816,49192376,11
5906519,117816,49192377,13
5906519,117816,49192378,16
5906519,117816,49192379,18
5906519,117816,49192538,21
5906519,117816,49192539,23
5906519,117816,49192540,26
5906519,117816,49192541,28
5906519,117816,49192561,31
5906519,117816,49192562,33
5906519,117816,49192504,36
5906519,117816,49192505,38
5906519,117816,49192506,41
5906519,117816,49192507,43
5906519,117816,49192508,46
5906519,117816,49192509,48
5906519,117816,49192510,51
5906519,117816,49192511,53
5906520,117816,49192388,1
5906520,117816,49192389,3
5906520,117816,49192390,6
5906520,117816,49192391,8
5906520,117816,49195103,11
5906520,117816,49192393,13
5906520,117816,49192518,16
5906520,117816,49192519,18
5906520,117816,49192542,21
5906520,117816,49192543,23
5906520,117816,49192544,26
5906520,117816,49192545,28
5906520,117816,49192570,31
5906520,117816,49192571,33
5906520,117816,49192417,36
5906520,117816,49192418,38
5906521,117816,49192433,1
5906521,117816,49192434,3
5906521,117816,49192435,6
5906521,117816,49192533,8
5906521,117816,49192457,11
5906521,117816,49192458,13
5906521,117816,49192364,16
5906521,117816,49192365,18
5906521,117816,49192366,21
5906521,117816,49192367,23
5906521,117816,49192368,26
5906521,117816,49192369,28
5906521,117816,49192584,31
5906521,117816,49192585,33
5906522,117816,49192468,2
5906522,117816,49192469,4
5906522,117816,49192470,7
5906522,117816,49192471,9
5906522,117816,49192536,12
5906522,117816,49192537,14
5906522,117816,49192498,17
5906522,117816,49192499,19
5906522,117816,49192500,22
5906522,117816,49192501,24
5906522,117816,49192400,27
5906522,117816,49192401,29
5906522,117816,49192526,32
5906522,117816,49192527,34
5906522,117816,49192528,37
5906522,117816,49192529,39
5906522,117816,49192530,42
5906522,117816,49192531,44
5906523,117816,49192472,1
5906523,117816,49192473,3
5906523,117816,49192474,6
5906523,117816,49192475,8
5906523,117816,49192476,11
5906523,117816,49192477,13
5906523,117816,49192380,16
5906523,117816,49192381,18
5906523,117816,49192382,21
5906523,117816,49192383,23
5906523,117816,49192384,26
5906523,117816,49192385,28
5906523,117816,49192563,31
5906523,117816,49192564,33
5906524,117816,49192492,1
5906524,117816,49192493,3
5906524,117816,49192494,6
5906524,117816,49192495,8
5906524,117816,49192394,11
5906524,117816,49192395,13
5906524,117816,49192520,16
5906524,117816,49192521,18
5906524,117816,49192522,21
5906524,117816,49192523,23
5906524,117816,49192546,26
5906524,117816,49192547,28
5906524,117816,49192572,31
5906524,117816,49192573,33
5906525,117816,49192512,1
5906525,117816,49192513,3
5906526,117816,49192514,1
5906526,117816,49192515,3
5906526,117816,49192516,6
5906526,117816,49192517,8
5906526,117816,49192410,11
5906526,117816,49192411,13
5906526,117816,49192412,16
5906526,117816,49192413,18
5906526,117816,49192414,21
5906526,117816,49192415,23
5906526,117816,49192429,26
5906526,117816,49192430,28
5906526,117816,49192447,31
5906526,117816,49192448,33
5906526,117816,49192449,36
5906526,117816,49192450,38
5906526,117816,49192451,41
5906526,117816,49192452,43
5906527,117816,49192532,1
5906527,117816,49192407,3
5906527,117816,49192408,6
5906527,117816,49192409,8
5906527,117816,49192423,11
5906527,117816,49192424,13
5906527,117816,49192425,16
5906527,117816,49192426,18
5906527,117816,49192427,21
5906527,117816,49192428,23
5906527,117816,49192445,26
5906527,117816,49192446,28
5906527,117816,49193052,31
5906527,117816,49192465,33
5906527,117816,49192466,36
5906527,117816,49192467,38
5906527,117816,49194545,41
5906527,117816,49194542,43
5906528,117816,49192534,1
5906528,117816,49192535,3
5906528,117816,49192496,6
5906528,117816,49192497,8
5906528,117816,49192396,11
5906528,117816,49192397,13
5906528,117816,49192398,16
5906528,117816,49192399,18
5906528,117816,49192524,21
5906528,117816,49192525,23
5906528,117816,49192548,26
5906528,117816,49192549,28
5906529,117816,49192559,2
5906529,117816,49192560,4
5906529,117816,49192502,7
5906529,117816,49192503,9
5906529,117816,49192402,12
5906529,117816,49192403,14
5906530,117816,49192574,2
5906530,117816,49192575,4
5906530,117816,49192557,7
5906530,117816,49192558,9
5906531,117816,49192582,2
5906531,117816,49192583,4
5906532,117816,49192586,2
5906532,117816,49192587,4
5906533,117816,49192404,1
5906533,117816,49192405,3
5906533,117816,49192406,6
5906533,117816,49193058,8
5906533,117816,49192422,11
5906533,117816,49193060,13
5906533,117816,49192439,16
5906533,117816,49192440,18
5906533,117816,49193055,21
5906533,117816,49192550,23
5906533,117816,49193056,26
5906533,117816,49193057,28
5906533,117816,49193054,31
5906533,117816,49193053,33
5906533,117816,49192486,36
5906533,117816,49192487,38
5906533,117816,49192488,41
5906533,117816,49192489,43
5906533,117816,49192490,46
5906533,117816,49192491,48
5906534,117816,49192453,1
5906534,117816,49192454,3
5906534,117816,49192455,6
5906534,117816,49192456,8
5906535,117816,49192580,2
5906535,117816,49192581,4
5906536,117816,49192441,2
5906536,117816,49192442,4
5906536,117816,49192443,7
5906536,117816,49192444,9
5906536,117816,49192551,12
5906536,117816,49192552,14
5906537,117816,49192480,2
5906537,117816,49192481,4
5906537,117816,49192482,7
5906537,117816,49192483,9
5906537,117816,49192576,12
5906537,117816,49192577,14
5906537,117816,49192565,17
5906537,117816,49192566,19
5906537,117816,49192567,22
5906537,117816,49192568,24
5906538,117816,49192484,2
5906538,117816,49192485,4
5906538,117816,49192578,7
5906538,117816,49192579,9
5906539,117816,49193003,1
5906539,117816,49192920,2
5906539,117816,49192848,3
5906539,117816,49192924,4
5906539,117816,49192857,5
5906539,117816,49192929,6
5906539,117816,49192865,7
5906539,117816,49192785,8
5906539,117816,49192973,9
5906539,117816,49192822,10
5906539,117816,49192874,11
5906539,117816,49192938,12
5906539,117816,49192883,13
5906539,117816,49192943,14
5906539,117816,49192894,15
5906539,117816,49192948,16
5906539,117816,49192905,17
5906539,117816,49192951,18
5906539,117816,49192913,19
5906539,117816,49192954,20
5906539,117816,49192917,21
5906539,117816,49192957,22
5906540,117816,49192846,1
5906540,117816,49192921,2
5906540,117816,49192850,3
5906540,117816,49192925,4
5906541,117816,49193004,1
5906541,117816,49192959,2
5906541,117816,49192811,3
5906541,117816,49192851,4
5906541,117816,49192780,5
5906541,117816,49192965,6
5906542,117816,49193005,1
5906542,117816,49192922,2
5906542,117816,49192853,3
5906542,117816,49192927,4
5906542,117816,49192862,5
5906542,117816,49192932,6
5906542,117816,49192871,7
5906542,117816,49192788,8
5906542,117816,49192976,9
5906542,117816,49192825,10
5906542,117816,49192880,11
5906542,117816,49192941,12
5906542,117816,49192890,13
5906542,117816,49192946,14
5906542,117816,49192901,15
5906542,117816,49192949,16
5906542,117816,49192909,17
5906542,117816,49192952,18
5906542,117816,49192915,19
5906542,117816,49192955,20
5906542,117816,49192919,21
5906542,117816,49192958,22
5906543,117816,49193006,1
5906543,117816,49192960,2
5906543,117816,49192812,3
5906543,117816,49192854,4
5906543,117816,49192781,5
5906543,117816,49192968,6
5906543,117816,49192817,7
5906543,117816,49192863,8
5906543,117816,49192784,9
5906543,117816,49192972,10
