SERVICE_RTE_NUM,INBD_OUTBD_CD,DAY_PART_CD,STOP_ID,STOP_NAME,DAY_TYPE,AVG_TRIP_BOARDINGS,AVG_TOTAL_BOARDINGS,AVG_TRIP_ALIGHTINGS,AVG_TOTAL_ALIGHTINGS,AVG_TRIP_DEPARTING_LOAD
703,O,XEV,3240,Swamp Creek Park & Ride WB Station,Saturday,0.200,2.200,0.873,9.600,3.764
703,O,XEV,3242,180th Pl SW WB Station,Saturday,0.273,3.000,0.273,3.000,3.764
703,O,XEV,3243,188th St SW WB Station,Saturday,4.673,51.400,0.491,5.400,7.945
703,O,XEV,3046,Trillium Blvd SB Station,Saturday,0.673,7.400,0.055,0.600,2.400
703,O,XEV,3047,153rd St SE SB Station,Saturday,0.909,10.000,0.109,1.200,3.200
703,O,XEV,3236,Mill Creek Blvd WB Station,Saturday,1.509,16.600,0.382,4.200,4.218
703,O,XEV,3237,North Rd WB Station,Saturday,0.382,4.200,0.382,4.200,4.073
703,O,XEV,3238,Larch Way WB Station,Saturday,1.100,11.000,0.580,5.800,4.940
703,O,XEV,3239,Ash Way Park & Ride Station,Saturday,0.720,7.200,1.260,12.600,4.400
703,O,XEV,3224,McCollum Park Park & Ride Station,Saturday,1.860,18.600,0.000,0.000,1.860
703,O,XNT,3244,Lynnwood City Center WB Station,Saturday,0.533,1.600,1.733,5.200,2.533
703,O,XNT,3246,Hwy 99 WB Station,Saturday,0.000,0.000,2.133,6.400,0.600
703,O,XNT,3222,Edmonds College Transit Center Station,Saturday,0.000,0.000,0.600,1.800,0.000
703,O,XNT,3237,North Rd WB Station,Saturday,0.000,0.000,0.100,0.200,3.100
703,O,XNT,3238,Larch Way WB Station,Saturday,0.200,0.400,0.000,0.000,3.600
703,O,XNT,3239,Ash Way Park & Ride Station,Saturday,0.200,0.400,1.600,3.200,2.200
703,O,XNT,3240,Swamp Creek Park & Ride WB Station,Saturday,0.100,0.200,0.800,1.600,1.500
703,O,XNT,3242,180th Pl SW WB Station,Saturday,0.000,0.000,0.000,0.000,1.500
703,O,XNT,3243,188th St SW WB Station,Saturday,2.500,5.000,0.100,0.200,3.900
703,O,XNT,3224,McCollum Park Park & Ride Station,Saturday,1.600,1.600,0.000,0.000,1.600
703,O,XNT,3046,Trillium Blvd SB Station,Saturday,0.600,0.600,0.200,0.200,2.000
703,O,XNT,3047,153rd St SE SB Station,Saturday,0.000,0.000,0.000,0.000,2.000
703,O,XNT,3236,Mill Creek Blvd WB Station,Saturday,1.100,2.200,0.300,0.600,2.400
