SERVICE_RTE_NUM,INBD_OUTBD_CD,DAY_PART_CD,STOP_ID,STOP_NAME,DAY_TYPE,STOP_SEQUENCE_NUM,AVG_TRIP_BOARDINGS,AVG_TOTAL_BOARDINGS,AVG_TRIP_ALIGHTINGS,AVG_TOTAL_ALIGHTINGS,AVG_TRIP_DEPARTING_LOAD
703,O,PM,3242,180th Pl SW WB Station,Weekday,8,0.305,7.048,0.329,7.619,5.393
703,O,PM,3239,Ash Way Park & Ride Bay 5,Weekday,6,1.190,26.810,0.683,15.381,5.592
703,O,PM,3240,Swamp Creek Park & Ride WB Station,Weekday,7,0.604,13.714,0.811,18.429,5.432
703,O,PM,3046,Trillium Blvd SB Station,Weekday,1,0.976,21.238,0.074,1.619,2.654
703,O,PM,3047,153rd St SE SB Station,Weekday,2,1.068,23.952,0.183,4.095,3.548
703,O,PM,3236,Mill Creek Blvd WB Station,Weekday,3,1.760,39.381,0.315,7.048,4.996
703,O,PM,3237,North Rd WB Station,Weekday,4,0.391,8.762,0.591,13.238,4.787
703,O,PM,3238,Larch Way WB Station,Weekday,5,0.866,19.143,0.517,11.429,5.103
703,O,PM,3224,McCollum Park Park & Ride Bay 4,Weekday,0,1.757,37.810,0.000,0.000,1.757
703,O,XEV,3244,Lynnwood City Center Station Bay C5,Weekday,10,3.092,28.714,4.872,45.238,8.164
703,O,XEV,3246,Hwy 99 WB Station,Weekday,11,0.553,5.000,4.358,39.429,4.495
703,O,XEV,3222,Edmonds College Transit Center Bay 5,Weekday,12,0.000,0.000,4.513,41.048,-0.021
703,O,XEV,3238,Larch Way WB Station,Weekday,5,0.860,7.286,0.449,3.810,4.140
703,O,XEV,3239,Ash Way Park & Ride Bay 5,Weekday,6,0.702,6.286,0.543,4.857,4.410
703,O,XEV,3240,Swamp Creek Park & Ride WB Station,Weekday,7,0.582,5.238,0.730,6.571,4.265
703,O,XEV,3242,180th Pl SW WB Station,Weekday,8,0.232,2.095,0.247,2.238,4.253
703,O,XEV,3243,188th St SW WB Station,Weekday,9,6.068,55.190,0.382,3.476,9.932
703,O,XEV,3224,McCollum Park Park & Ride Bay 4,Weekday,0,1.361,12.381,0.000,0.000,1.361
703,O,XEV,3046,Trillium Blvd SB Station,Weekday,1,0.455,4.095,0.042,0.381,1.767
703,O,XEV,3047,153rd St SE SB Station,Weekday,2,0.677,6.095,0.127,1.143,2.317
703,O,XEV,3236,Mill Creek Blvd WB Station,Weekday,3,1.468,13.143,0.186,1.667,3.596
703,O,XEV,3237,North Rd WB Station,Weekday,4,0.306,2.476,0.359,2.905,3.600
