SERVICE_RTE_NUM,INBD_OUTBD_CD,DAY_PART_CD,STOP_ID,STOP_NAME,DAY_TYPE,AVG_TRIP_BOARDINGS,AVG_TOTAL_BOARDINGS,AVG_TRIP_ALIGHTINGS,AVG_TOTAL_ALIGHTINGS,AVG_TRIP_DEPARTING_LOAD
702,O,AM,3042,4th Ave W SB Station,Weekday,1.029,28.810,1.000,28.000,3.990
702,O,AM,3043,3rd Ave SE SB Station,Weekday,0.301,8.429,0.231,6.476,3.986
702,O,AM,3044,Dumas Rd SB Station,Weekday,0.112,3.143,0.073,2.048,3.935
702,O,AM,3045,16th Ave SE SB Station,Weekday,0.457,12.810,0.622,17.429,3.748
702,O,AM,3046,Trillium Blvd SB Station,Weekday,0.222,6.000,0.203,5.476,3.899
702,O,AM,3047,153rd St SE SB Station,Weekday,0.175,4.714,0.399,10.762,3.698
702,O,AM,3048,164th St SE SB Station,Weekday,0.728,19.667,0.388,10.476,4.030
702,O,AM,3017,Seaway Transit Center Bay 13,Weekday,1.247,34.905,0.000,0.000,1.247
702,O,AM,3037,Kasch Park Rd SB Station,Weekday,0.424,12.286,0.064,1.857,1.560
702,O,AM,3038,100th St SW SB Station,Weekday,0.033,0.952,0.043,1.238,1.557
702,O,AM,3039,112th St SW SB Station,Weekday,0.195,5.667,0.030,0.857,1.698
702,O,MID,3048,164th St SE SB Station,Weekday,0.654,35.952,0.856,47.095,2.968
702,O,MID,3049,180th St SE SB Station,Weekday,0.246,13.524,0.608,33.429,2.596
702,O,MID,3050,196th St SE SB Station,Weekday,0.176,9.667,0.352,19.333,2.431
702,O,MID,3051,208th St SE SB Station,Weekday,0.203,11.190,0.629,34.571,1.999
702,O,MID,3035,Canyon Park Park & Ride Bay 6,Weekday,0.000,0.000,2.013,110.714,-0.003
702,O,MID,3044,Dumas Rd SB Station,Weekday,0.154,8.476,0.186,10.238,3.412
702,O,MID,3045,16th Ave SE SB Station,Weekday,0.465,25.095,0.997,53.857,2.941
702,O,MID,3046,Trillium Blvd SB Station,Weekday,0.766,41.381,0.243,13.095,3.462
702,O,MID,3047,153rd St SE SB Station,Weekday,0.332,18.286,0.530,29.143,3.202
702,O,MID,3039,112th St SW SB Station,Weekday,0.244,13.429,0.037,2.048,1.766
702,O,MID,3040,Hwy 99 SB Station,Weekday,2.557,140.619,0.380,20.905,3.900
702,O,MID,3041,Gibson Rd SB Station,Weekday,0.373,20.143,0.295,15.952,4.037
702,O,MID,3042,4th Ave W SB Station,Weekday,1.023,55.238,1.340,72.381,3.714
702,O,MID,3043,3rd Ave SE SB Station,Weekday,0.184,10.143,0.345,18.952,3.420
702,O,MID,3017,Seaway Transit Center Bay 13,Weekday,1.268,69.762,0.000,0.000,1.268
702,O,MID,3037,Kasch Park Rd SB Station,Weekday,0.244,13.190,0.026,1.381,1.431
702,O,MID,3038,100th St SW SB Station,Weekday,0.157,8.476,0.015,0.810,1.573
702,O,PM,3035,Canyon Park Park & Ride Bay 6,Weekday,0.004,0.143,1.915,72.762,0.000
702,O,PM,3049,180th St SE SB Station,Weekday,0.383,14.571,1.194,45.381,3.286
702,O,PM,3050,196th St SE SB Station,Weekday,0.205,7.571,0.740,27.381,2.821
702,O,PM,3051,208th St SE SB Station,Weekday,0.237,9.000,1.100,41.810,1.900
702,O,PM,3043,3rd Ave SE SB Station,Weekday,0.257,9.524,0.627,23.190,4.489
702,O,PM,3044,Dumas Rd SB Station,Weekday,0.216,8.190,0.348,13.238,4.246
702,O,PM,3045,16th Ave SE SB Station,Weekday,0.653,24.810,1.256,47.714,3.645
702,O,PM,3046,Trillium Blvd SB Station,Weekday,0.631,23.333,0.403,14.905,3.995
702,O,PM,3047,153rd St SE SB Station,Weekday,0.367,13.571,0.607,22.476,3.731
702,O,PM,3048,164th St SE SB Station,Weekday,1.163,44.190,0.787,29.905,4.046
702,O,PM,3041,Gibson Rd SB Station,Weekday,0.353,12.714,0.649,23.381,5.454
702,O,PM,3042,4th Ave W SB Station,Weekday,1.394,51.571,1.919,71.000,4.789
702,O,PM,3037,Kasch Park Rd SB Station,Weekday,0.553,19.905,0.013,0.476,2.317
702,O,PM,3038,100th St SW SB Station,Weekday,0.335,12.048,0.012,0.429,2.640
702,O,PM,3039,112th St SW SB Station,Weekday,0.493,18.238,0.073,2.714,3.004
702,O,PM,3040,Hwy 99 SB Station,Weekday,3.264,120.762,0.745,27.571,5.580
702,O,PM,3017,Seaway Transit Center Bay 13,Weekday,1.684,60.619,0.000,0.000,1.684
702,O,XEV,3035,Canyon Park Park & Ride Bay 6,Weekday,0.004,0.095,1.062,24.429,-0.008
702,O,XEV,3050,196th St SE SB Station,Weekday,0.107,2.238,0.492,10.333,1.873
702,O,XEV,3051,208th St SE SB Station,Weekday,0.113,2.381,0.889,18.667,1.109
702,O,XEV,3045,16th Ave SE SB Station,Weekday,0.664,13.952,1.184,24.857,2.390
702,O,XEV,3046,Trillium Blvd SB Station,Weekday,0.134,2.810,0.288,6.048,2.206
702,O,XEV,3047,153rd St SE SB Station,Weekday,0.150,3.143,0.175,3.667,2.234
702,O,XEV,3048,164th St SE SB Station,Weekday,0.782,16.429,0.519,10.905,2.558
702,O,XEV,3049,180th St SE SB Station,Weekday,0.211,4.429,0.585,12.286,2.215
702,O,XEV,3037,Kasch Park Rd SB Station,Weekday,0.251,4.524,0.016,0.286,0.958
702,O,XEV,3038,100th St SW SB Station,Weekday,0.085,1.524,0.011,0.190,1.032
702,O,XEV,3039,112th St SW SB Station,Weekday,0.175,3.143,0.040,0.714,1.180
702,O,XEV,3040,Hwy 99 SB Station,Weekday,3.320,59.762,0.325,5.857,4.251
702,O,XEV,3041,Gibson Rd SB Station,Weekday,0.243,4.381,0.394,7.095,4.108
702,O,XEV,3042,4th Ave W SB Station,Weekday,1.212,21.810,1.733,31.190,3.603
702,O,XEV,3043,3rd Ave SE SB Station,Weekday,0.210,4.190,0.400,8.000,3.186
702,O,XEV,3044,Dumas Rd SB Station,Weekday,0.148,2.952,0.236,4.714,3.121
702,O,XEV,3017,Seaway Transit Center Bay 13,Weekday,0.783,12.524,0.000,0.000,0.783
